,,,,,
,ID,Title,Mod,Tournament - Stage,Rank Range
,2741020,Kawada Mami - UTOPIA? [Extra] (Reiji Maigo),FM1,Bundesländer Battle 2022 Quarterfinals,1-∞
,2658311,Umeboshi Chazuke - Wakare no Namida wa Mata Au Hi made [Memories] (KPMY),FM2,Bundesländer Battle 2022 Quarterfinals,1-∞
,1888082,"Diao Ye Zong feat. Meramipop - No More, Anymore? More More?! [No more! BAD END] (Crissa)",TB1,Bundesländer Battle 2022 Quarterfinals,1-∞
,1478218,Meramipop - Secret Desire - Dyes Remix - [Irregular] (Skystar),TB2,Bundesländer Battle 2022 Quarterfinals,1-∞
,836339,Dark PHOENiX - Ryokugan no Jealousy [Monster with Green Eyes] (EvilElvis),TB3,Bundesländer Battle 2022 Quarterfinals,1-∞
,,,,,
,2284662,Kishida Kyoudan & THE Akeboshi Rockets - Fairy Rampage [Delusion] (skytuna),NM1,Bundesländer Battle 2022 Semifinals,1-∞
,3154777,F-777 - Vortex [THREE DIMENSIONS] (knowledgeking),NM2,Bundesländer Battle 2022 Semifinals,1-∞
,3193021,Wiseman (CV: Harada Sayaka & CV: Kito Akari & CV: Mano Ayumi) - Wiseman no Thema [Sparhten's Triple Jail Sentence Extra] (Sparhten),NM3,Bundesländer Battle 2022 Semifinals,1-∞
,3471755,Urbandawn - Foley Funk [Interference] (Mir),NM4,Bundesländer Battle 2022 Semifinals,1-∞
,3227911,UNDEAD CORPORATION - One Second [Blink of an Eye] (Zelq),NM5,Bundesländer Battle 2022 Semifinals,1-∞
,2613064,Gekidan Record feat. Nekomata Master - Houkou Orpheus [Mystery] (DeviousPanda),NM6,Bundesländer Battle 2022 Semifinals,1-∞
,2856173,KikuoHana - Desert Theater [lu^3's Extra (#3)] (Keqing),HD1,Bundesländer Battle 2022 Semifinals,1-∞
,1924977,Makai Toshi Niigata - Ukiyo-e Yokochou [Extravaganza] (DeviousPanda),HD2,Bundesländer Battle 2022 Semifinals,1-∞
,3129973,Hatsuki Yura - Gentou Yuukaku [Extra] (KKipalt),HD3,Bundesländer Battle 2022 Semifinals,1-∞
,1279068,Shinigiwa Satellite - Nenten Puranetto [A World Without Form] (Scarsnic),HR1,Bundesländer Battle 2022 Semifinals,1-∞
,1432320,Zekk - Calling [Komore's Extra] (NeilPerry),HR2,Bundesländer Battle 2022 Semifinals,1-∞
,2298387,Yooh - Heracles [Extra] (Sivlas),HR3,Bundesländer Battle 2022 Semifinals,1-∞
,516322,Sana - Byoumei Koiwazurai [Lovesick] ([ Joey ]),DT1,Bundesländer Battle 2022 Semifinals,1-∞
,3311366,ZUN - Nemureru Kyoufu ~ Sleeping Terror [Lunatic] (Kurashina Asuka),DT2,Bundesländer Battle 2022 Semifinals,1-∞
,2955318,EPICA - Fight Your Demons [Insane] (Justus),DT3,Bundesländer Battle 2022 Semifinals,1-∞
,2489320,Akatsuki Records - Bhavacakra [Zelq's Lunatic] (SMOKELIND),DT4,Bundesländer Battle 2022 Semifinals,1-∞
,3299402,REDALiCE - Taboo tears you up 2017 [Vintage] (Dada),FM1,Bundesländer Battle 2022 Semifinals,1-∞
,975517,Akiyama Uni - Touhou Hisouten [FreeSongs' Rhapsody] (sahuang),FM2,Bundesländer Battle 2022 Semifinals,1-∞
,669496,Mizuki Nana - VIRGIN CODE [Shining Gate] (koreapenguin),TB1,Bundesländer Battle 2022 Semifinals,1-∞
,1956743,Xi - Rokujuu Nenme no Shinsoku Saiban ~ Rapidity is a justice [Guilty or Not Guilty] (-Hwangbo),TB2,Bundesländer Battle 2022 Semifinals,1-∞
,1748667,Diao Ye Zong feat. Meramipop/nayuta - Katare Tsukumobushi [99 Melodies] (Hey lululu),TB3,Bundesländer Battle 2022 Semifinals,1-∞
,,,,,
,2423209,HIMEHINA - ai no hana [Uncompressed Fury of a Raging Flower of Love] (skytuna),NM1,Bundesländer Battle 2022 Finals,1-∞
,3480896,Demetori - Kamisabita Kosenjou ~ Suwa Foughten Field [Lunatic (2nd Circle)] (ItsWinter),NM2,Bundesländer Battle 2022 Finals,1-∞
,2294521,umu. - Dareka no Shinzou ni Nareta Nara [Expert] (xbopost),NM3,Bundesländer Battle 2022 Finals,1-∞
,3205720,"BEMANI Sound Team ""Expander"" - STOIC HYPOTHESIS [the realazy method] (Acylica)",NM4,Bundesländer Battle 2022 Finals,1-∞
,3170315,katagiri - Nyan-Nyan Naughty Night [Showdown (nerfed ver.)] (-Tynamo),NM5,Bundesländer Battle 2022 Finals,1-∞
,2725951,Rissyuu feat. Choko - Bamboo [KKip's Take] (JeZag),NM6,Bundesländer Battle 2022 Finals,1-∞
,3311238,Yuma Mizonokuchi feat. Ai Ohsera - Tie me down gently -long ver- [Ultra] (Camo),HD1,Bundesländer Battle 2022 Finals,1-∞
,2486052,"Hoshimachi Suisei - Tenkyuu, Suisei wa Yoru o Mataide [Comet] (captin1)",HD2,Bundesländer Battle 2022 Finals,1-∞
,3007644,solfa - Battle 6 : okamitachi no kiba -Revenge of the wolves- [not so awa] (Reiji Maigo),HD3,Bundesländer Battle 2022 Finals,1-∞
,2285120,ShinRa-Bansho - Kirameki Inokori Daisensou [Sparkle!] (Amateurre),HR1,Bundesländer Battle 2022 Finals,1-∞
,2724478,Nekomata Master - fallen leaves -IIDX edition- [Another] (Cubby),HR2,Bundesländer Battle 2022 Finals,1-∞
,537949,nmk - sola [Flower's Extra] (Kroytz),HR3,Bundesländer Battle 2022 Finals,1-∞
,665006,Meramipop - Star Breaker [Suta] (Rizia),DT1,Bundesländer Battle 2022 Finals,1-∞
,3216909,ZUN - Shoujo Kisoukyoku ~ Dream Battle [Lunatic] (Kurashina Asuka),DT2,Bundesländer Battle 2022 Finals,1-∞
,858503,"Meramipop - Cirno, Q? [Insane] (-Tochi)",DT3,Bundesländer Battle 2022 Finals,1-∞
,1424776,monet - Noborenai Sakamichi [Insane] (Mirash),DT4,Bundesländer Battle 2022 Finals,1-∞
,3216936,Takanashi Yasuharu - Out Of Order [Determination] (Mordred),FM1,Bundesländer Battle 2022 Finals,1-∞
,3322445,SEPHID - The Public Parallel [Master] (Camo),FM2,Bundesländer Battle 2022 Finals,1-∞
